Row_Id,Location,Date,Time,Fee,Instructor,Latitude,Longitude
0,"Aspen Elementary  225 Broken Circle Dr., Evanston, WY, 82930",05/06/19,8:15 AM - 9:15 AM,$0.00,Jill Stout,41.25425328,-110.94803
1,"Uinta Meadows Elementary  90 Cheyenne Dr., Evanston, WY, 82930",05/20/2019,8:00 AM - 9:00 AM,$0.00,Jill Stout,41.25662,-110.96255
2,"Kaleva Norman Dickson School  4400 N High Bridge Rd, Brethren, MI, 49619",05/17/2019,1:20 PM - 2:40 PM,$0.00,Katina M. Robinson,44.30350993,-86.02123004
3,"Arrowwood Elementary  10345 Arrowwood Dr, Highlands Ranch, CO, 80130",05/28/2019,10:00 AM - 11:00 AM,$0.00,Monica Hornick,39.52747,-104.93329
4,"Casman Academy   225 9th St, Manistee, MI, 49660",05/31/2019,12:00 PM - 1:20 PM,$0.00,Katina M. Robinson,44.23714147,-86.31213244
5,"Warren Hills Regional High School  41 Jackson Valley Rd, Washington, NJ, 07882",05/16/2019,12:45 PM - 1:45 PM,$0.00,Linda Brigode-Katstra,40.77374003,-74.98314006
6,"Wilco Area Career Center Fire Science Program  500 Wilco Blvd., Romeoville, IL, 60440",05/07/19,8:00 AM - 10:00 AM,$0.00,MARK A. OGLESBY,41.60141842,-88.09381379
7,"Greenbrier High School  72 Green Valley Drive  , Greenbrier, AR, 72058",05/22/2019,12:00 PM - 2:30 PM,$0.00,Clayton H. Goddard,35.22117006,-92.40318004
8,"Carleton College  300 North College St, Northfield, MN, 55057",05/18/2019,1:00 PM - 3:00 PM,$0.00,Audrey Gao,44.46151415,-93.15532679
9,"University of San Francisco  2130 Fulton Street, Room Locations Provided With Registration Confirmation, San Francisco, CA, 94117",05/22/2019,12:00 PM - 1:30 PM,$0.00,Octavia A. Mandel Struve,37.77512002,-122.45198
10,"McCormack Building, 3rd floor, Rm 1407  100 Morrissey Blvd, Boston, MA, 02125",05/06/19,10:00 AM - 11:00 AM,$0.00,Manu Thakral,42.31650159,-71.04814981
11,"NC State University Public Safety Building  2610 Wolf Village Way, Raleigh, NC, 27695",05/21/2019,2:00 PM - 3:00 PM,$0.00,Laura B. Hill,35.78594381,-78.68189432
12,"NC State University Public Safety Building  2610 Wolf Village Way, Raleigh, NC, 27695",06/03/19,10:00 AM - 11:00 AM,$0.00,Laura B. Hill,35.78594381,-78.68189432
13,"NC State University Public Safety Building  2610 Wolf Village Way, Raleigh, NC, 27695",06/05/19,1:00 PM - 2:00 PM,$0.00,Laura B. Hill,35.78594381,-78.68189432
14,"NC State University Public Safety Building  2610 Wolf Village Way, Raleigh, NC, 27695",05/23/2019,1:00 PM - 2:00 PM,$0.00,Laura B. Hill,35.78594381,-78.68189432
15,"NC State University Public Safety Building  2610 Wolf Village Way, Raleigh, NC, 27695",06/11/19,10:00 AM - 11:00 AM,$0.00,Laura B. Hill,35.78594381,-78.68189432
16,"NC State University Public Safety Building  2610 Wolf Village Way, Raleigh, NC, 27695",06/13/2019,9:00 AM - 10:00 AM,$0.00,Laura B. Hill,35.78594381,-78.68189432
17,"Lenoir Community College   231 NC Highway 58 South (Bullock Building 146), Kinston, NC, 28504",05/23/2019,9:00 AM - 11:00 AM,$0.00,Jeremy  R. Hill,35.22201868,-77.57607976
18,"Penn College at Wellsboro  22 Walnut Street, Wellsboro, PA, 16901",06/04/19,6:00 PM - 7:30 PM,$0.00,Jason P. Zielewicz,41.74656578,-77.30002062
19,"University of San Francisco  2130 Fulton Street, San Francisco, CA, 94117",05/05/19,9:00 AM - 10:30 AM,$0.00,Octavia A. Mandel Struve,37.77512002,-122.45198
20,"EMS Academy  700 Camino de Salud, Room 1610, Albuquerque, NM, 87106",05/23/2019,10:00 AM - 12:00 PM,$0.00,Barbara Conley,35.08980569,-106.6207149
21,"McCook Community College  1205 East 3rd St., McCook, NE, 69001",05/03/19,8:30 AM - 12:30 PM,$0.00,Marc A. Harpham,40.20881,-100.62143
22,"McCook Community College  1205 East 3rd St., McCook, NE, 69001",05/17/2019,8:30 AM - 12:30 PM,$0.00,Marc A. Harpham,40.20881,-100.62143
23,"McCook Community College  1205 East 3rd St., McCook, NE, 69001",06/07/19,8:30 AM - 12:30 PM,$0.00,Marc A. Harpham,40.20881,-100.62143
24,"University of Texas Rio Grande Valley Environmental Health and Safety Building (EEHSB)   1201 West University Drive, EEHSB 104, Edinburg, TX, 78539",05/09/19,1:00 PM - 2:30 PM,$0.00,John Guglielmo,26.30348003,-98.17627996
25,"University of Texas Rio Grande Valley Environmental Health and Safety Building (EEHSB)   1201 West University Drive, EEHSB 104, Edinburg, TX, 78539",05/09/19,3:00 PM - 4:30 PM,$0.00,John Guglielmo,26.30348003,-98.17627996
26,"University of Texas Rio Grande Valley Environmental Health and Safety Building (EEHSB)   1201 West University Drive, EEHSB 104, Edinburg, TX, 78539",07/19/2019,10:00 AM - 11:30 AM,$0.00,John Guglielmo,26.30348003,-98.17627996
27,"University of Texas Rio Grande Valley Environmental Health and Safety Building (EEHSB)   1201 West University Drive, EEHSB 104, Edinburg, TX, 78539",07/19/2019,1:00 PM - 2:30 PM,$0.00,John Guglielmo,26.30348003,-98.17627996
28,"University of Texas Rio Grande Valley Environmental Health and Safety Building (EEHSB)   1201 West University Drive, EEHSB 104, Edinburg, TX, 78539",07/19/2019,3:00 PM - 4:30 PM,$0.00,John Guglielmo,26.30348003,-98.17627996
